12	318
7	310
13	299
10	248
23	248
16	240
15	239
20	217
25	216
26	216
14	206
11	198
31	196
8	188
32	184
21	175
18	154
19	151
6	144
17	134
42	132
33	131
44	127
27	125
9	113
30	106
22	100
29	90
40	85
35	84
39	83
36	80
38	78
41	75
45	74
43	72
28	71
24	70
34	66
37	62
46	60
5	59
47	58
86	52
53	51
58	50
51	46
55	42
48	40
52	40
49	36
78	36
65	35
62	34
66	32
80	31
4	30
56	30
60	29
54	28
64	27
61	26
72	26
50	25
59	24
67	24
69	23
73	23
68	22
75	22
79	22
57	21
70	21
74	19
71	18
84	18
63	17
76	17
77	17
87	17
83	16
95	16
97	16
99	16
96	15
82	14
81	13
98	13
114	13
91	11
100	11
89	10
94	10
110	10
88	9
109	9
117	9
93	8
103	8
119	8
90	7
107	7
112	7
135	7
85	6
102	6
106	6
111	6
113	6
92	5
101	5
104	5
115	5
116	5
118	5
123	5
133	5
108	4
120	4
121	4
122	4
124	4
185	4
1	3
3	3
105	3
129	3
130	3
131	3
136	3
138	3
139	3
140	3
141	3
143	3
144	3
179	3
193	3
125	2
127	2
134	2
137	2
142	2
147	2
149	2
151	2
153	2
155	2
156	2
160	2
162	2
163	2
165	2
173	2
176	2
178	2
222	2
2	1
126	1
128	1
132	1
148	1
150	1
154	1
157	1
159	1
164	1
166	1
167	1
168	1
170	1
171	1
172	1
175	1
177	1
181	1
183	1
186	1
187	1
188	1
189	1
191	1
198	1
199	1
210	1
211	1
212	1
213	1
218	1
220	1
225	1
227	1
232	1
234	1
259	1
261	1
263	1
271	1
272	1
311	1
